_id,Name,Definition,Img,Type
5ec8ac0262d52f6c5cc7e99c,Confused,unable to think clearly or to understand what is happening or what somebody is saying,https://pixabay.com/vi/photos/ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn-kh%C3%B3-ch%E1%BB%8Bu-m%E1%BB%9D-ki%E1%BB%87t-s%E1%BB%A9c-1850268/,Emotions
5ec8ac0262d52f6c5cc7e989,Sandal,a type of light open shoe that is worn in warm weather. The top part consists of leather bands that fasten the sole to your foot.,https://pixabay.com/vi/photos/sandal-gi%C3%A0y-gi%C3%A0y-c%E1%BB%A7a-ph%E1%BB%A5-n%E1%BB%AF-1521473/,Clothes
5ec8ac0262d52f6c5cc7e971,Milk,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans",https://pixabay.com/vi/vectors/s%E1%BB%AFa-chai-n%C6%B0%E1%BB%9Bc-gi%E1%BA%A3i-kh%C3%A1t-tr%E1%BA%AFng-576439/,Drink
5ec8ac0262d52f6c5cc7e9a1,Bored,?feeling tired and impatient because you have lost interest in somebody/something or because you have nothing to do,https://pixabay.com/vi/photos/c%C3%B4-g%C3%A1i-ph%E1%BB%A5-n%E1%BB%AF-h%E1%BB%8Dc-h%E1%BB%8Fi-ch%C3%A1n-%C4%91%E1%BB%8Dc-1019305/,Emotions
5ec8ac0262d52f6c5cc7e95e,Farmer,a person who owns or manages a farm,https://pixabay.com/vi/vectors/n%C3%B4ng-d%C3%A2n-lao-%C4%91%E1%BB%99ng-n%C3%B4ng-th%C3%B4n-148325/,Work
5ec8ac0262d52f6c5cc7e98e,Island,a piece of land that is completely surrounded by water,https://pixabay.com/vi/photos/%C4%91%E1%BA%A3o-san-h%C3%B4-b%C3%A3i-bi%E1%BB%83n-c%C3%A2y-c%E1%BB%8D-k%E1%BB%B3-ngh%E1%BB%89-2178747/,Natures
5ec8ac0262d52f6c5cc7e976,USA,United States of America,https://pixabay.com/vi/photos/american-c%E1%BB%9D-ch%C3%BAng-t%C3%B4i-c%E1%BB%9D-c%E1%BB%9D-m%E1%BB%B9-301164/,Country
5ec8ac0262d52f6c5cc7e9a6,Bath,"a large, long container that you put water in and then get into to wash your whole body",https://pixabay.com/vi/photos/ph%C3%B2ng-t%E1%BA%AFm-t%E1%BA%AFm-b%E1%BB%93n-t%E1%BA%AFm-nh%C3%A0-spa-4805846/,Equipments
5ec8ac0262d52f6c5cc7e993,Field,"an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc.",https://pixabay.com/vi/photos/h%C3%A0-lan-field-ho%C3%A0ng-h%C3%B4n-n%C3%B4ng-nghi%E1%BB%87p-4530545/,Natures
5ec8ac0262d52f6c5cc7e963,Cupcake,"?a small cake, baked in a paper container that is like a cup in shape and often with icing on top",https://pixabay.com/vi/photos/b%C3%A1nh-n%C6%B0%E1%BB%9Bng-x%E1%BB%91p-n%C6%B0%E1%BB%9Bng-cupcake-ngon-1329679/,Food
5ec8ac0262d52f6c5cc7e998,Facebook,a very popular social media website,https://pixabay.com/vi/photos/facebook-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-th%C3%B4ng-minh-566336/,Entertainment
5ec8ac0262d52f6c5cc7e968,Chip,a long thin piece of potato fried in oil or fat,https://pixabay.com/vi/photos/chip-munchies-pringles-843993/,Food
5ec8ac0262d52f6c5cc7e96d,Tea,the dried leaves (called tea leaves) of the tea bus,https://pixabay.com/vi/vectors/tr%C3%A0-teabag-c%E1%BB%91c-r%E1%BB%97ng-k%C3%ADnh-25198/,Drink
5ec8ac0262d52f6c5cc7e972,Soda,fizzy water (= water with bubbles) used as a drink on its own or to mix with alcoholic drinks or fruit juice (originally made with sodium bicarbonate),htpps://pixabay.com/vi/vectors/s%C3%A1u-g%C3%B3i-%C4%91%E1%BB%93-u%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-ng%E1%BB%8Dt-bia-lon-25200/,Drink
5ec8ac0262d52f6c5cc7e977,UK (United Kingdom),?United Kingdom,https://pixabay.com/vi/photos/anh-c%E1%BB%9D-ng%C3%B4n-ng%E1%BB%AF-bi%E1%BB%83u-t%C6%B0%E1%BB%A3ng-uk-4474567/,Country
5ec8ac0262d52f6c5cc7e97c,China,a country of eastern Asia bordering on the Pacific; the most populous country in the world; a republic whose capital is Beijing,https://pixabay.com/vi/photos/m%C3%A0u-%C4%91%E1%BB%8F-c%E1%BB%9D-ch%E1%BB%A7-ngh%C4%A9a-x%C3%A3-h%E1%BB%99i-1028364/,Country
5ec8ac0262d52f6c5cc7e97b,France,?a country in western Europe,https://pixabay.com/vi/photos/c%E1%BB%9D-ph%C3%A1p-ph%C3%A1p-c%E1%BB%9D-qu%E1%BB%91c-gia-1064395/,Country
5ec8ac0262d52f6c5cc7e981,Kimono,"a traditional Japanese piece of clothing like a long loose dress with wide sleeves (= parts covering the arms), worn on formal occasions; a dressing gown or robe in this style",https://pixabay.com/vi/photos/th%E1%BB%9Di-trang-nh%E1%BA%ADt-b%E1%BA%A3n-kimono-1025375/,Clothes
5ec8ac0262d52f6c5cc7e986,T-shirt,"an informal shirt, usually with short sleeves (= arms) no collar or buttons, or just a few buttons at the top",https://pixabay.com/vi/photos/gi%E1%BA%A3-l%E1%BA%ADp-t-shirt-gi%E1%BA%A3-m%C3%A0u-xanh-2710535/,Clothes
5ec8ac0262d52f6c5cc7e980,Jeans,trousers made of denim (= a type of strong cotton),https://pixabay.com/vi/photos/m%C3%A0u-%C4%91en-c%C5%A9-l%E1%BB%8Fng-l%E1%BA%BBo-qu%E1%BA%A7n-jean-1146793/,Clothes
5ec8ac0262d52f6c5cc7e985,Dress,"a piece of women’s clothing that is made in one piece and covers the body down to the legs, sometimes reaching to below the knees, or to the ankles",https://pixabay.com/vi/photos/c%C3%B4-g%C3%A1i-v%C3%A1y-tr%E1%BA%AFng-ki%E1%BB%83u-t%C3%B3c-t%C3%B3c-1333640/,Clothes
5ec8ac0262d52f6c5cc7e98b,Waterfall,"a place where a stream or river falls from a high place, for example over a cliff or rock",https://pixabay.com/vi/photos/triberg-th%C3%A1c-n%C6%B0%E1%BB%9Bc-r%E1%BB%ABng-%C4%91en-torrent-4984171/,Natures
5ec8ac0262d52f6c5cc7e98a,Forest,a large area of land that is thickly covered with trees,https://pixabay.com/vi/photos/c%C3%A2y-con-%C4%91%C6%B0%E1%BB%9Dng-%C4%91%C6%B0%E1%BB%9Dng-m%C3%B2n-c%C5%A9-%C4%91%C6%B0%E1%BB%9Dng-2897757/,Natures
5ec8ac0262d52f6c5cc7e990,"'Mountain","a very high hill, often with rocks near the top",https://pixabay.com/vi/photos/alps-%C4%91%E1%BA%A7u-n%C3%BAi-c%E1%BA%A3nh-quan-thi%C3%AAn-nhi%C3%AAn-4553488/,Natures
5ec8ac0262d52f6c5cc7e98f,Lake,a large area of water that is surrounded by land,https://pixabay.com/vi/photos/hallstatt-n%C3%BAi-%C3%A1o-lake-n%C3%BAi-cao-4495734/,Natures
5ec8ac0262d52f6c5cc7e995,Game,"an activity that you do to have fun, often one that has rules and that you can win or lose; the equipment for a game",https://pixabay.com/vi/photos/mario-nh%C3%A2n-v%E1%BA%ADt-tr%C3%B2-ch%C6%A1i-nintendo-1998595/,Entertainment
